22:49:11.684 > Gyroscope sample rate = 104.00 Hz
22:49:11.692 > Accelerometer sample rate = 104.00 Hz
22:49:11.702 > 
22:49:11.702 > Idx   Gyroscope in degrees/second  Acceleration in g/second 
22:49:11.718 > 		X	Y	Z		X	Y	Z
22:49:12.706 > 5	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.716 > 6	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.725 > 7	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.734 > 8	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.744 > 9	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.753 > 10	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.763 > 11	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.772 > 12	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.782 > 13	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.792 > 14	-0.31	0.00	-0.06	0.00	-0.03	1.00
22:49:12.801 > 15	-0.18	-0.06	-0.12	0.00	-0.03	1.00
22:49:12.811 > 16	-0.18	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.820 > 17	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.830 > 18	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.839 > 19	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.849 > 20	-0.24	0.00	-0.06	0.00	-0.03	1.00
22:49:12.858 > 21	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.868 > 22	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:12.877 > 23	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.887 > 24	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.896 > 25	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.906 > 26	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.915 > 27	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.925 > 28	-0.24	0.00	-0.18	-0.00	-0.03	1.00
22:49:12.934 > 29	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.944 > 30	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.954 > 31	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:12.963 > 32	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:12.972 > 33	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:12.982 > 34	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:12.992 > 35	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.001 > 36	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.011 > 37	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.020 > 38	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.030 > 39	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:13.039 > 40	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.049 > 41	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.059 > 42	-0.24	0.00	-0.18	-0.00	-0.03	1.00
22:49:13.068 > 43	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.078 > 44	-0.24	0.00	-0.06	-0.00	-0.03	1.00
22:49:13.088 > 45	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.097 > 46	-0.18	0.00	-0.12	0.00	-0.03	1.00
22:49:13.106 > 47	-0.18	0.00	-0.12	0.00	-0.03	1.00
22:49:13.116 > 48	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.125 > 49	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.135 > 50	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.144 > 51	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.154 > 52	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.164 > 53	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.173 > 54	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.183 > 55	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.192 > 56	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.202 > 57	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.212 > 58	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.221 > 59	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.231 > 60	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.241 > 61	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.250 > 62	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.260 > 63	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.269 > 64	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.279 > 65	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.289 > 66	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.298 > 67	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.308 > 68	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.317 > 69	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.327 > 70	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.337 > 71	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.346 > 72	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.356 > 73	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.366 > 74	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.375 > 75	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.385 > 76	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.394 > 77	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.404 > 78	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.414 > 79	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.423 > 80	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.432 > 81	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.442 > 82	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.451 > 83	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.461 > 84	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.471 > 85	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.480 > 86	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.490 > 87	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.499 > 88	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:13.508 > 89	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.518 > 90	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.528 > 91	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.537 > 92	-0.24	0.00	-0.06	-0.00	-0.03	1.00
22:49:13.547 > 93	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.556 > 94	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.580 > 95	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.580 > 96	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.585 > 97	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.595 > 98	-0.31	0.00	-0.18	-0.00	-0.03	1.00
22:49:13.604 > 99	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.614 > 100	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.624 > 100 rounds over
22:49:13.628 > 1	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.637 > 2	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.646 > 3	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.656 > 4	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:13.665 > 5	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.674 > 6	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.683 > 7	-0.31	0.06	-0.18	-0.00	-0.03	1.00
22:49:13.693 > 8	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.702 > 9	-0.24	0.00	-0.06	0.00	-0.03	1.00
22:49:13.711 > 10	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:13.721 > 11	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.730 > 12	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.740 > 13	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.749 > 14	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.759 > 15	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.768 > 16	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.778 > 17	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.787 > 18	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.797 > 19	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.806 > 20	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.816 > 21	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.826 > 22	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.835 > 23	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.845 > 24	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:13.854 > 25	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:13.864 > 26	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:13.873 > 27	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:13.882 > 28	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:13.892 > 29	-0.24	0.06	-0.06	0.00	-0.03	1.00
22:49:13.901 > 30	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.911 > 31	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.920 > 32	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.930 > 33	-0.31	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.940 > 34	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.949 > 35	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:13.959 > 36	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.968 > 37	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:13.977 > 38	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.987 > 39	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:13.997 > 40	-0.24	0.06	-0.12	-0.00	-0.03	1.00
22:49:14.006 > 41	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:14.016 > 42	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:14.025 > 43	-0.24	0.06	-0.06	0.00	-0.03	1.00
22:49:14.034 > 44	-0.18	0.06	-0.12	-0.00	-0.03	1.00
22:49:14.044 > 45	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:14.054 > 46	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:14.063 > 47	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:14.073 > 48	-0.31	0.00	-0.12	0.00	-0.03	1.00
22:49:14.082 > 49	-0.31	0.06	-0.12	0.00	-0.03	1.00
22:49:14.091 > 50	-0.24	0.06	-0.12	0.00	-0.03	1.00
22:49:14.101 > 51	-0.24	0.00	-0.12	0.00	-0.03	1.00
22:49:14.110 > 52	-0.24	0.00	-0.06	-0.00	-0.03	1.00
22:49:14.120 > 53	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:14.129 > 54	-0.24	0.00	-0.12	-0.00	-0.03	1.00
22:49:14.139 > 55	-0.31	0.00	-0.12	-0.00	-0.03	1.00
22:49:14.149 > 56	-0.31	0.00	-0.12	-0.00	-0.03	1.00
